name,region,cityProvince,address,holes,phone,certified,status,lat,lng
북항파크골프장,전남,전남,전라남도 목포시 북항 하수종말처리장,9,,False,공개,37.5085,127.0632
불갑파크골프장,전남,전남,전라남도 영광군 불갑면 방마리,18,,False,공개,35.2168864,126.521973
비봉파크골프장,전북,전북,전북특별자치도 완주군 비봉면 소농리454 비봉면체육공원 내,18,,False,공개,37.5085,127.0632
비비정파크골프장,전북,전북,전북특별자치도 완주군 삼례읍 후정리142-1 비비정공원 내,18,,False,공개,37.5085,127.0632
산이파크골프장,전남,전남,전라남도 해남군 산이면 초두길 10-14,18,,False,공개,34.6501619,126.4491051
삼학도파크골프장,전남,전남,전라남도 목포시 산정동 삼하도,9,,False,공개,37.5085,127.0632
삼호대불파크골프장,전남,전남,전라남도 영암군 삼호읍 종합공원길 11,36,,False,공개,34.7597501,126.4563649
상관파크골프장,전북,전북,전북특별자치도 완주군 상관면 신리 916,18,,False,공개,35.7688,127.20626
상동파크골프장,전남,전남,전라남도 목포시 상동 연동건널목 석현동 산거리,9,,False,공개,37.5085,127.0632
상사파크골프장,전남,전남,전라남도 순천시 상사면 응령리 678-7,13,,False,공개,37.5085,127.0632
생강골파크골프장,전북,전북,전북특별자치도 완주군 봉동읍 낙평리 795,36,,False,공개,37.5085,127.0632
서면파크골프장,전남,전남,전라남도 순천시 서면 강청리 828,9,,False,공개,37.5085,127.0632
서해파크골프장,전남,전남,전라남도 목포시 연산동,9,,False,공개,34.8188609,126.3834813
송월동파크골프장,전남,전남,전라남도 나주시 성북동 100,9,,False,공개,35.0360369,126.7197604
